material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-865321,137,61,18.65367394,0.0,14.31478841,-7.555165145,-0.757185866,9e-07,160.80525,65.75,4118.5,12.75,1.735,2299.0,6.75
mp-580234,200,83,11.43039827,0.0,8.264553333,-8.290504528,-0.152710646,0.0023825,56.88944,26.0,2689.472,9.6,2.162,1546.61,3.8
mp-10782,32,22,31.47439927,1.9336,5.306349822,-4.884482875,-1.728175685,0.0001378,100.5782875,42.5,1595.0,11.0,1.755,732.365,5.25
mp-753326,63,16,13.89735819,0.0,4.469674897,-3.558873649,-1.77056879,0.0034124,37.40753547,16.77777778,777.2422222,13.88888889,3.191111111,360.5255556,2.666666667
mp-770881,148,28,9.984015339,0.0,4.345362061,-7.392355913,-2.302018723,8.000011925,26.12655314,12.28571429,1110.114286,11.42857143,2.632857143,688.1714286,2.571428571
mp-12622,64,23,15.84636924,1.3251,4.716131387,-4.973805243,-2.882007958,0.0,45.00560213,20.0,871.8533333,13.33333333,3.178333333,515.3616667,3.0
mp-1017566,19,82,11.75858962,0.2069,9.259412016,-5.933808848,-1.726304808,0.0001581,65.56764,27.6,1077.12,15.2,2.932,395.282,3.2
mp-864241,166,95,12.9382842,0.9888,8.492286014,-7.39450135,-2.883668354,4.9999458,66.16864,27.8,1395.52,11.8,2.65,659.68,3.8
mp-20560,30,17,40.97153518,0.0,3.489169629,-6.750257758,-2.050886875,0.94591335,86.0905,37.0,2175.435,10.0,1.85,728.18,5.5
mp-20805,65,18,16.36416488,1.0994,6.589282325,-4.534099853,-2.104120034,0.00010875,64.93560213,27.33333333,933.02,15.33333333,3.408333333,440.4633333,3.166666667
mp-1018022,52,26,21.29135735,0.0,5.300564024,-6.152387093,-1.203928448,0.0006047,67.963595,30.5,2199.435,12.5,2.135,989.1175,4.0
mp-12600,43,16,32.0003481,0.0,8.409822647,-4.241612765,-0.26314052,0.00141135,162.0662,66.33333333,2957.333333,7.666666667,1.293333333,997.6666667,7.333333333
mp-636320,190,100,12.204604,0.0,7.79886818,-7.320948103,-0.357442469,0.9117236,57.32,26.25,3076.25,8.25,1.7525,1466.4775,4.0
mp-9473,75,37,18.54551939,0.0,5.670679586,-5.635187712,-0.773921621,0.001767,63.3322648,28.4,1923.0,10.4,1.818,1018.12,4.0
mp-5223,185,108,10.65905775,3.2382,7.235659214,-9.81120652,-3.702378382,6.99999975,46.44594772,20.2,1317.12,14.2,2.626,536.574,3.4
mp-11513,209,89,12.42903791,0.0,8.984257683,-7.145024215,-0.280933885,1.3e-06,67.246645,31.25,3643.75,8.75,1.8325,1983.5,4.25
mp-999204,94,64,17.91989146,0.0,2.916629573,-4.755599198,-0.360721972,0.0001273,31.47513195,15.0,2869.75,10.5,1.5475,1153.6025,3.25
mp-7897,17,8,36.18613644,0.2126,1.700968423,-2.393888583,-0.208689254,8.95e-06,37.0671655,18.0,911.5,4.5,1.1625,331.7225,3.75
mp-1029309,38,22,17.04268095,0.0,4.92009183,-6.605528394,-0.908649826,0.0003231,50.49658771,21.6,1468.544,7.2,1.848,674.768,3.2
mp-13334,165,72,11.75700875,1.0767,6.556764238,-5.549040444,-1.952652839,8.77e-05,46.42344,20.8,865.12,14.8,2.786,272.432,3.0
mp-505554,172,110,13.10862893,0.0,5.391727735,-7.503087731,-0.681968915,1.1008449,42.5633824,20.2,3143.4,9.4,1.764,1762.0,3.6
mp-977264,39,21,30.97391984,0.0,5.616722344,-3.755206053,-0.056119472,0.2429983,104.7683333,44.66666667,2636.333333,5.333333333,1.19,1223.0,6.333333333
mp-557713,121,48,16.58230486,3.6312,6.914650548,-8.127046675,-3.521842107,0.0001454,69.050375,29.0,1430.12,10.8,2.502,681.18,3.8
mp-580886,22,13,22.09179878,0.7368,5.816178154,-7.480144548,-1.473793419,3.85e-05,77.37839,33.33333333,1738.92,12.0,2.343333333,859.3,4.0
