material_id,bulkMod,shearMod,vol/atom,band_gap,density,energy_per_atom,formation_energy_per_atom,total_magnetization,atomic_mass,atomic_number,boiling_point,column,electronegativity,melting_point,row
mp-864775,69,14,22.28932359,0.0,12.55273226,-2.333378703,-0.329084246,0.0006898,168.49463,68.5,1671.94,12.0,1.79,859.3925,6.25
mp-1681,50,11,32.06763813,0.0,6.931415196,-5.190252018,-0.476988411,0.0031932,133.8566025,55.25,3526.0,5.75,1.315,1021.02,7.25
mp-978545,58,19,26.53929898,0.0,9.528927121,-3.52257926,-0.380548309,0.1097717,152.29455,62.75,1804.22,9.75,1.5675,1039.8125,6.75
mp-753890,197,72,7.862306106,0.0,8.335090038,-4.984575467,-0.05061388,0.4081767,39.46491333,19.0,2130.76,7.0,2.006666667,1156.67,3.0
mp-19419,121,74,8.586306801,1.672,4.582699653,-5.757540388,-1.732220548,5.0000342,23.6962,11.25,1232.35,10.25,2.4225,593.5725,2.5
mp-863698,50,29,26.78685631,0.0,5.289157624,-3.973763848,-0.262423116,0.0001494,85.32163465,36.75,2675.25,7.25,1.295,1150.6175,5.5
mp-27243,10,6,35.99932799,1.4677,3.906929879,-3.253816489,-1.140451251,0.0022111,84.69951429,36.57142857,1070.0,11.42857143,2.251428571,539.6657143,4.285714286
mp-641539,255,144,8.681197781,3.5562,3.833340286,-7.894334749,-1.02490786,0.000272075,20.04047143,10.0,1404.062857,14.57142857,2.551428571,759.0285714,2.428571429
mp-10667,56,35,23.82720346,0.1136,5.260778638,-4.06622883,-0.757063991,7.5e-07,75.48732067,33.33333333,1546.666667,9.333333333,1.69,867.41,4.333333333
mp-865039,155,32,17.32368449,0.0,11.81875967,-8.907884715,-0.237730575,0.0787482,123.3,52.0,4206.75,8.0,1.765,1967.77,5.25
mp-866075,215,185,15.83962054,0.0,15.45488548,-8.335122315,-0.538238832,1.03e-05,147.42172,59.75,4124.0,6.25,1.8025,2422.75,5.25
mp-974066,34,22,34.96535822,0.0,6.922831024,-4.745663235,0.007245721,0.0011818,145.7715,60.5,3048.75,6.5,1.1475,1309.0,8.0
mp-8772,218,188,7.828998264,0.0,2.850115075,-6.863279005,-0.211162199,4.6e-06,13.43753169,6.230769231,4115.615385,12.23076923,1.987692308,2307.846154,2.153846154
mp-753081,60,22,12.45278845,0.0,4.109560575,-4.85642077,-1.306053615,0.006251,30.8186,14.27272727,1636.890909,10.09090909,2.209090909,637.3954545,2.727272727
mp-676,45,22,13.73404615,3.5449,2.143818513,-7.582687104,-0.480116175,0.0,17.73117143,8.857142857,317.3085714,13.14285714,2.748571429,213.3285714,2.285714286
mp-865866,140,17,16.72368452,0.0,12.12197005,-6.518414535,-0.876126432,0.0001546,122.08325,49.75,3623.25,6.25,1.7175,1666.1225,4.75
mp-12951,125,62,18.9378198,0.0,10.46106786,-5.546915162,-0.594058535,4.8e-06,119.304523,50.0,3429.333333,9.333333333,1.893333333,1256.08,5.0
mp-864924,55,22,24.755319,0.0,9.554047009,-2.214476535,-0.470273677,8.54e-05,142.43175,58.0,1498.94,8.0,1.6125,672.16,5.75
mp-510437,89,37,20.84146552,0.0,8.880454618,-4.18725269,-0.463090432,7.39e-05,111.4588,47.8,2701.4,11.8,1.948,989.07,5.0
mp-1016873,136,90,13.83567278,3.6644,6.398584135,-8.615657026,-3.684228519,0.0001648,53.31324,23.2,1380.72,10.8,2.524,757.08,3.2
mp-867326,180,115,13.54447671,0.0,7.905751665,-6.955885563,-0.923494674,2.41e-05,64.4846443,28.75,3493.75,10.75,1.925,1677.735,4.0
mp-1011860,42,25,13.36571034,3.0133,2.887060485,-6.518825736,-2.492706441,3.00010765,23.2380048,11.25,603.6166667,12.75,2.683333333,293.995,2.5
mp-691107,89,40,11.57604224,1.6921,4.343684369,-6.006456203,-2.212916562,4.9998912,30.2809344,14.33333333,1103.076667,13.66666667,3.083333333,639.7766667,2.666666667
mp-829,156,52,14.57444965,0.0,7.599548117,-5.341552305,-0.876191645,5.18e-05,66.7007693,29.5,3014.0,11.5,1.905,1380.76,4.0
mp-1913,178,77,17.26730097,0.0,18.09162149,-6.742076728,-1.057602254,6.04e-05,188.12775,75.5,3858.75,11.0,2.02,1981.55,6.5
mp-756018,79,40,17.62157215,3.1592,4.561617715,-5.91100606,-2.912154946,7.96e-05,48.4077,21.0,921.6,9.0,2.27,508.15,3.25
mp-540584,54,18,17.02160511,1.3697,4.226373788,-4.478194516,-1.304241992,0.0,43.32308,20.0,1096.08,8.8,2.144,522.142,3.4
mp-570707,63,36,25.27695697,0.0,6.616722074,-5.543879875,-1.629181743,7.5e-07,100.7206667,42.66666667,1763.0,12.66666667,2.08,761.6666667,5.333333333
mp-20539,56,21,23.32870082,0.0,6.929558212,-3.932368758,-0.284675165,0.0001161,97.352478,42.0,2534.5,10.5,1.675,775.8125,4.75
mp-980054,69,13,22.99871804,0.0,13.97409104,-3.557981895,-0.61010013,4.1e-05,193.5432845,77.5,2437.25,13.0,2.1275,1093.0675,6.5
mp-20757,114,64,14.99218209,0.0,5.706356844,-6.045344827,-0.201978612,0.0007274,51.5198612,23.33333333,2739.666667,11.33333333,1.723333333,1221.29,3.666666667
mp-1746,103,56,10.49397608,6.7193,3.28615773,-5.262275076,-3.780463333,0.0,20.7672688,10.0,511.02,12.0,3.09,343.3533333,2.333333333
mp-573,91,34,16.7409764,0.0062,6.970515912,-4.746006709,-0.274403881,1e-07,70.27431429,31.42857143,1912.857143,13.42857143,2.275714286,1022.857143,4.0
mp-540839,10,5,48.03561491,2.5199,4.983585047,-2.873872871,-1.040347268,0.00016545,144.1637724,59.2,867.64,13.2,2.22,412.55,5.4
mp-862549,35,2,29.89991017,0.0,8.923447052,-2.996325685,-0.303823557,2.5e-06,160.6769,63.5,2170.0,7.5,1.33,732.6725,5.75
mp-11947,69,27,16.03505013,0.0,6.463472374,-3.079946553,-0.250060025,2.35e-05,62.41473465,27.5,2319.25,9.0,1.6125,964.255,3.75
mp-1016840,167,58,12.36941649,0.0,11.78187756,-5.717560832,-0.872923444,0.0014398,87.76364,36.0,1237.096,13.6,2.904,740.944,3.6
mp-978271,32,27,20.95945801,0.0,1.978606773,-2.137391338,0.002885678,6.78e-05,24.97413465,12.25,1720.25,4.75,1.385,925.6175,3.0
mp-976775,51,9,12.97032044,0.0,2.439996706,-4.537227114,-1.413899064,2.999986,19.05859386,9.4,557.92,10.2,2.512,291.654,2.4
mp-9486,26,14,17.09170811,6.3239,2.43093284,-5.167429711,-3.5334894,1e-06,25.02126933,12.0,660.14375,12.5,2.89375,234.2725,2.625
mp-1682,118,65,20.74307686,0.0,6.65020086,-7.745737778,-1.14294152,0.00030175,83.0728,36.5,2784.5,9.5,1.755,1609.0,4.5
mp-672340,102,40,17.4022141,0.0,8.054665085,-4.318942915,-0.146932438,0.0001225,84.41175,36.25,2682.0,8.75,1.685,980.0475,4.25
mp-861605,68,30,12.2316266,0.9544,7.806883455,-4.11117987,-0.649472286,0.0012465,57.505955,23.0,908.46,1.5,1.925,341.2575,3.0
mp-961695,72,29,23.77501731,0.6309,7.576631123,-5.79733983,-0.730574787,0.0006346,108.479555,45.33333333,2734.666667,9.333333333,1.693333333,1227.886667,5.666666667
mp-7591,62,38,21.10739531,0.0,5.804406322,-4.58715554,0.05325284,0.0003875,73.7808,32.5,1990.0,14.5,2.095,1150.7,4.0
mp-10311,146,72,17.11891949,0.0,6.945393933,-8.07956437,-0.660599782,2.02e-05,71.60183333,31.66666667,3818.333333,7.666666667,1.656666667,1840.8,4.333333333
mp-11824,63,53,21.10484317,0.8046,2.599830398,-4.971169806,-1.096818469,2.13e-05,33.0428924,16.4,1179.672,7.2,1.646,745.07,3.4
mp-20791,106,55,14.5124524,0.0,6.895856317,-7.884453728,-0.249805257,0.0102535,60.26704833,27.0,2300.333333,9.0,1.786666667,1597.333333,4.0
mp-133,56,25,29.86869135,0.0,6.769202947,-4.07919422,0.048567055,3.92e-05,121.76,51.0,1860.0,15.0,2.05,903.78,5.0
mp-639662,8,4,14.31288549,1.3584,2.842188427,-4.784881108,-2.33047202,1.000487225,24.49801933,11.5,561.525,15.16666667,3.593333333,407.9416667,2.333333333
mp-7753,140,38,15.71254178,0.0,9.077192974,-4.76763296,-0.479585615,6.9e-06,85.89125,37.5,2767.75,8.0,1.9775,1601.7875,4.5
mp-1018062,188,67,15.34040516,0.0,10.29328407,-7.098155648,-0.302346264,3.8934235,95.0915,41.5,3486.25,10.0,2.0875,1697.52,4.75
mp-11227,92,57,16.80746108,0.0,3.857811771,-4.531323291,-0.074641423,8.7e-06,39.04757409,17.69230769,3025.538462,12.46153846,1.667692308,1145.895385,3.230769231
mp-2049,192,59,18.50070112,0.0,8.470043763,-10.21892501,-0.128188983,2.1e-06,94.368,41.33333333,4835.333333,5.333333333,1.883333333,2640.0,5.0
